team,team-id,gol-done,gol-received,win,lost,draw
Republic of Congo,87,28,35,8,6,4
Mali,105,4,3,1,0,2
Tunisia,123,8,13,4,5,0
Malawi,108,14,14,2,3,3
Pakistan,62,3,4,0,1,1
Iran,44,2,3,1,2,0
Turkey,73,7,10,2,2,2
Panama,13,2,0,2,0,0
El Salvador,15,0,1,0,1,0
Cyprus,40,2,7,0,2,0
Bulgaria,140,27,21,5,6,6
Kuwait,53,22,7,6,3,0
Japan,48,5,1,2,0,1
Bosnia and Herzegovina,139,21,14,4,5,3
Spain,146,6,4,3,1,1
Ghana,96,12,6,3,0,3
Guinea,95,9,14,1,3,3
New Caledonia,131,5,5,1,1,1
Iraq,46,5,5,1,3,2
Morocco,100,18,2,8,0,5
Germany,144,52,26,20,6,8
Italy,155,6,8,1,3,4
Qatar,66,6,8,1,4,1
Algeria,89,11,7,2,3,1
Egypt,90,13,5,4,1,0
Uganda,124,7,8,1,2,3
Ivory Coast,84,4,13,0,4,2
Zambia,127,13,11,5,2,1
Saudi Arabia,67,11,6,4,1,1
Togo,122,5,6,2,2,0
Denmark,145,15,8,3,3,2
Benin,81,2,0,1,0,0
Belgium,138,8,4,4,1,2
Puerto Rico,14,0,1,0,1,0
United Arab Emirates,32,5,11,1,3,1
Oman,61,0,13,0,3,0
France,149,9,8,2,2,2
Romania,169,5,6,2,3,3
Haiti,9,5,25,1,8,2
Uruguay,29,11,10,4,3,2
Czech Republic,143,15,11,5,3,2
Netherlands,164,32,8,10,1,3
Austria,137,5,2,3,0,3
Jamaica,10,3,4,2,1,0
Brazil,22,19,6,9,2,5
Mexico,11,5,2,2,0,1
Hungary,153,11,13,4,3,1
Portugal,167,0,3,0,1,2
United Kingdom,150,12,7,4,1,5
Canada,2,0,4,0,2,1
Poland,166,33,17,11,4,2
Russia,168,1,4,1,2,0
Indonesia,42,20,29,3,6,2
Argentina,18,19,21,4,4,5
Chile,20,5,7,2,3,4
Greece,151,11,12,2,2,3
Sweden,173,12,20,4,6,3
Switzerland,142,5,7,1,5,1
Yemen,77,9,34,1,5,0
Ireland,154,11,10,4,5,1
China,38,20,11,4,0,1
Sierra Leone,117,1,4,0,1,0
Paraguay,26,0,3,0,2,0
South Korea,52,14,10,4,2,3
Cambodia,51,9,16,3,4,1
Thailand,69,26,25,5,7,2
Australia,129,3,8,1,3,1
Norway,165,6,11,1,5,0
North Korea,64,1,6,0,1,0
Israel,45,2,2,1,1,0
Malaysia,59,18,17,4,4,6
Finland,148,7,12,1,3,2
Libya,97,19,11,6,3,2
Iceland,156,7,9,1,2,2
Nigeria,111,3,2,1,1,1
India,43,7,8,1,1,2
Somalia,119,7,11,1,4,1
Burundi,79,2,1,1,1,0
Senegal,116,2,5,0,1,0
Trinidad and Tobago,16,5,6,1,2,1
United States of America,17,1,4,0,2,0
Syria,68,9,1,2,0,1
Palestine,65,8,6,1,2,1
Lebanon,55,1,4,0,1,0
Sudan,114,13,7,3,2,0
Jordan,47,0,6,0,1,0
Luxembourg,159,2,9,0,2,0
Laos,54,4,13,0,4,2
Kenya,98,4,6,0,2,0
Taiwan,74,3,2,1,0,2
Liberia,101,0,3,0,2,0
Suriname,28,8,7,2,2,1
Gambia,94,0,6,0,2,0
Cameroon,85,1,1,0,0,1
