team,x,y,cluster,rank
Ireland,-9.804059288737927,-5.208618594571316,0,9
United Kingdom,10.24049901602058,-26.89531609856206,4,4
United States of America,-4.091437752580149,-8.416832075267989,0,8
Canada,-1.6704558436986372,3.5207103325170066,0,40
Uruguay,17.20213846351895,-15.469278470146387,4,4
Argentina,-8.3427974070396322,-37.92199328274964,1,1
Austria,10.331585953112237,12.517457136523163,0,10
Hungary,14.777634381179285,11.383724209656057,0,20
Czech Republic,14.737832905305845,8.134737863674774,0,2
Belgium,-2.3332458530107942,-21.202993333138192,4,1
France,22.375560843981525,-12.796191323773149,4,1
Switzerland,9.93802265347798,-6.3017745910900045,0,7
Netherlands,-16.61806156939837,-29.24298499127757,1,2
Germany,9.097536239394249,-53.55217269293119,2,1
Sweden,18.639182422807522,-9.8215092771377,4,3
Norway,-5.357862506767257,0.08756935963683532,0,4
Italy,31.25707189457434,-27.112614818437223,3,2
Chile,14.754792633044152,1.1017279471683739,0,4
Finland,-1.6704558436986372,3.520710332517007,0,36
Luxembourg,-1.6704558436986372,3.520710332517007,0,83
Russia,19.82601883510483,-1.9799561599616504,4,5
Denmark,-1.2856113773654019,-9.908785842470442,0,6
Brazil,13.86042375812965,-45.78042418719462,2,1
Japan,-3.5631575157832,-6.704847693973496,0,14
Philippines,-1.6704558436986365,3.520710332517007,0,120
Paraguay,3.2978319273672727,-6.164795292363817,0,10
Estonia,-1.6704558436986365,3.520710332517008,0,57
Costa Rica,-1.4084167782728583,-6.570340705804232,0,16
El Salvador,-1.670455843698636,3.520710332517008,0,64
Guatemala,-1.670455843698636,3.520710332517008,0,56
Bosnia and Herzegovina,16.06733604912909,4.797074146544511,0,19
Poland,-19.74333773027301,-13.285962916713872,0,7
Spain,12.108213016295228,-25.156509004852502,4,1
Portugal,18.478805373392813,-5.4503232697649295,4,3
Romania,-10.094169314129676,-7.2592054536919814,0,7
New Zealand,0.24269184132658764,1.721172393400937,0,49
Australia,2.8960057371640566,0.5200168609026419,0,21
Latvia,-1.670455843698636,3.520710332517008,0,45
Mexico,1.8400511403005944,-16.426281217392045,4,5
China,-1.670455843698636,3.520710332517008,0,37
Lithuania,-1.670455843698636,3.520710332517008,0,43
Turkey,-12.835921561927519,-2.557436809414558,0,8
Bulgaria,-10.731825626407263,0.29234013483884014,0,15
Egypt,-3.0117668443138226,2.518623827044641,0,9
South Africa,-2.5284561171420696,-1.9884874630164378,0,19
Haiti,-1.6704558436986365,3.5207103325170084,0,39
Jamaica,-2.8337582303362434,1.1914064307328838,0,32
Kenya,-1.6704558436986365,3.5207103325170093,0,68
Uganda,-1.6704558436986365,3.5207103325170093,0,63
Bolivia,-2.1879937834551018,2.8575893381890114,0,24
Peru,5.221218850121821,5.95640739593203,0,11
Honduras,0.1942795319301781,3.1065350072586893,0,27
Guyana,-1.6704558436986368,3.5207103325170084,0,91
Trinidad and Tobago,-0.9357682217068692,3.1196390334865365,0,29
Belarus,-1.6704558436986368,3.5207103325170084,0,38
Ukraine,4.740705543167202,2.075247961844415,0,13
Nicaragua,-1.6704558436986368,3.5207103325170093,0,92
Greece,1.643454330848868,-0.770078990901551,0,11
Cuba,-4.7632865588206466,4.726123081025959,0,46
Israel,-3.27600903827537,3.2380019090256162,0,18
Indonesia,-1.6704558436986372,3.5207103325170093,0,87
Suriname,-1.6704558436986372,3.5207103325170093,0,215
Ecuador,2.1374412944569916,-2.9007902080378773,0,13
Colombia,2.95376359207072,-10.970410842494193,0,3
Venezuela,-1.6704558436986368,3.5207103325170093,0,36
India,-1.6704558436986368,3.5207103325170093,0,100
Panama,-1.6704558436986368,3.5207103325170093,0,38
Slovakia,1.1786908521056194,1.4501044298831909,0,20
Croatia,7.399004406954549,-13.595192349572459,4,4
Lebanon,-1.6704558436986368,3.5207103325170093,0,215
Puerto Rico,-1.6704558436986368,3.5207103325170093,0,105
Afghanistan,-1.6704558436986368,3.5207103325170093,0,140
Iran,-1.0086351154458284,-1.2233478988723474,0,19
Mongolia,-1.6704558436986368,3.5207103325170093,0,168
Zimbabwe,-1.6704558436986368,3.5207103325170093,0,46
Zambia,-1.6704558436986368,3.5207103325170093,0,20
Iceland,-1.573689832424002,2.682895260610173,0,21
Albania,-1.6704558436986372,3.5207103325170093,0,38
Montenegro,-1.6704558436986372,3.5207103325170093,0,25
Djibouti,-1.6704558436986372,3.5207103325170093,0,173
Ethiopia,-1.6704558436986372,3.5207103325170093,0,92
Republic of Congo,-1.6704558436986372,3.5207103325170093,0,48
South Korea,-5.285364548354944,-8.79885606580791,0,62
Vietnam,-1.6704558436986372,3.5207103325170093,0,98
Dominican Republic,-1.6704558436986372,3.5207103325170093,0,93
Cyprus,-1.6704558436986372,3.5207103325170093,0,62
Sierra Leone,-1.6704558436986372,3.5207103325170093,0,58
Nigeria,0.09005143456790954,-6.014004453483548,0,9
