country,games
Gabon,2
Uruguay,19
Mexico,5
Jamaica,9
Saudi Arabia,4
Guatemala,5
Republic of Congo,10
Honduras,8
Tunisia,3
Nigeria,3
Sudan,7
Niger,2
Turkey,3
Mali,3
Ghana,6
Iraq,1
Greece,4
Togo,2
Germany,8
Uganda,4
Cameroon,1
Ethiopia,2
Ivory Coast,3
Libya,4
Luxembourg,2
Algeria,2
Cyprus,1
France,4
Italy,3
Ireland,3
United Kingdom,7
Belgium,3
Hungary,3
Romania,3
Switzerland,4
Bosnia and Herzegovina,2
Finland,3
Albania,2
Suriname,2
Israel,1
Sweden,5
Poland,3
Denmark,6
Austria,5
Russia,7
Spain,2
Norway,4
Czech Republic,3
Peru,2
Taiwan,6
Guyana,3
Mauritania,1
Malaysia,33
Chile,5
Kenya,10
Netherlands,3
Trinidad and Tobago,4
Bulgaria,3
El Salvador,3
Paraguay,1
Sierra Leone,2
Liberia,1
Puerto Rico,3
New Caledonia,1
Portugal,2
Senegal,1
Pakistan,2
